"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/27/2017. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 2,232 Crashes containing 2,264 Units and 2,319 Persons"

"Query Filters:"
"Crash Year Is In 2010 or 2011 or 2012 or 2013 or 2014 or 2015 or 2016 or 2017"
"City Is Equal To Austin"
"Unit Description Is Equal To Pedalcyclist"

"Crash ID","Average Daily Traffic Amount","Average Daily Traffic Year","Crash Death Count","Crash Incapacitating Injury Count","Crash Non-incapacitating Injury Count","Crash Not Injured Count","Crash Possible Injury Count","Crash Severity","Crash Time","Crash Year","Day of Week","Intersecting Street Name","Intersection Related","Latitude","Light Condition","Longitude","Manner of Collision","Medical Advisory Flag","Object Struck","Road Base Type","Speed Limit","Street Name","Surface Condition","Weather Condition"
"11216714","33647","2014","0","0","1","1","0","Non-Incapacitating Injury","1840","2010","Saturday","N/A","Driveway Access","30.26035863","Dark, Not Lighted","-97.75869945","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","40","SL0343","Dry","Clear"
"11218909","38267","2014","0","1","0","1","0","Incapacitating Injury","0817","2010","Monday","EL SALIDO PKWY","Intersection Related","30.45808434","Daylight","-97.82305201","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","55","RM0620","Dry","Cloudy"
"12117650","No Data","No Data","0","0","0","2","1","Possible Injury","1152","2010","Monday","UNKNOWN","Intersection Related","30.23604737","Daylight","-97.76345771","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","S 1ST ST","Dry","Clear"
"11185428","No Data","No Data","0","0","0","0","1","Possible Injury","0758","2010","Thursday","UNKNOWN","Intersection","30.32328119","Daylight","-97.73400717","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","NORTHLOOP BLVD W","Dry","Clear"
"11340203","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1543","2010","Thursday","N/A","Driveway Access","No Data","Daylight","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","55","US0071","Dry","Clear"
"11220121","44866","2014","0","0","0","1","1","Possible Injury","1654","2010","Sunday","N/A","Non Intersection","30.35533624","Daylight","-97.79348984","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","60","SL0360","Dry","Clear"
"11312103","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","0650","2010","Monday","PLEASANT VALLEY RD N","Intersection","30.26009478","Daylight","-97.70946247","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","E 7TH ST","Wet","Cloudy"
"11217227","No Data","No Data","0","0","0","2","1","Possible Injury","0230","2010","Tuesday","N/A","Non Intersection","No Data","Dark, Not Lighted","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","WOODWARD ST","Other (Explain In Narrative)","Cloudy"
"11219281","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1734","2010","Tuesday","BRAZOS ST","Intersection Related","30.28027478","Daylight","-97.73678246","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","35","E MARTIN LUTHER KING JR BLVD","Dry","Clear"
"11524643","No Data","No Data","0","0","0","1","0","Not Injured","1541","2010","Tuesday","N/A","Not Reported","No Data","Daylight","No Data","One Motor Vehicle - Other","No","Not Applicable","No Data","45","IH0035","Dry","Clear"
"11546153","No Data","No Data","0","0","0","1","1","Possible Injury","1420","2010","Tuesday","STARSTREAK DR","Intersection Related","30.1934248","Daylight","-97.78006246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","W WILLIAM CANNON DR","Dry","Clear"
"11231122","No Data","No Data","0","1","0","1","0","Incapacitating Injury","1026","2010","Wednesday","UNKNOWN","Intersection","30.45121475","Daylight","-97.80588244","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","HARD ROCK RD","Dry","Clear"
"11464818","No Data","No Data","0","0","2","1","0","Non-Incapacitating Injury","1737","2010","Wednesday","RIO GRANDE ST","Intersection","30.27877478","Daylight","-97.74619246","Opposite Direction - One Straight-One Left Turn","No","Not Applicable","No Data","30","W 15TH ST","Dry","Clear"
"11470674","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1136","2010","Monday","W 30TH ST","Intersection","30.29430477","Daylight","-97.73748246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","UNIVERSITY AVE","Wet","Rain"
"11470675","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1136","2010","Monday","W 30TH ST","Intersection","30.29430477","Daylight","-97.73748246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","UNIVERSITY AVE","Wet","Rain"
"11328398","124466","2014","0","1","0","1","0","Incapacitating Injury","0608","2010","Tuesday","N/A","Non Intersection","30.36106904","Dark, Not Lighted","-97.68625661","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","55","IH0035","Wet","Fog"
"11376350","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1325","2010","Tuesday","DUVAL ST","Intersection","30.29264477","Daylight","-97.73363246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","RATHERVUE PL","Dry","Clear"
"11350439","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","2326","2010","Wednesday","UNKNOWN","Intersection Related","30.29883392","Dark, Lighted","-97.74063632","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","GUADALUPE ST","Dry","Clear"
"11243422","20895","2014","0","0","1","0","0","Non-Incapacitating Injury","2025","2010","Sunday","RED RIVER ST","Intersection","30.2618442","Dark, Lighted","-97.73886871","One Motor Vehicle - Turning Right","No","Not Applicable","Concrete","30","SL0343","Dry","Clear"
"11376416","No Data","No Data","0","0","1","2","0","Non-Incapacitating Injury","1140","2010","Sunday","N/A","Driveway Access","30.26297822","Daylight","-97.72636792","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","30","E 6TH ST","Dry","Clear"
"11359866","No Data","No Data","0","0","0","1","1","Possible Injury","2123","2010","Monday","N/A","Non Intersection","No Data","Unknown","No Data","One Motor Vehicle - Backing","No","Not Applicable","No Data","0","E RIVERSIDE DR DR","Unknown","Unknown"
"11275652","21351","2014","0","0","1","1","0","Non-Incapacitating Injury","1753","2010","Wednesday","CONGRESS AVE","Intersection","30.26339563","Daylight","-97.74449683","One Motor Vehicle - Going Straight","No","Not Applicable","Concrete","35","SL0343","Dry","Clear"
"11328503","No Data","No Data","0","0","1","0","0","Non-Incapacitating Injury","0227","2010","Wednesday","N/A","Non Intersection","30.26991478","Dark, Lighted","-97.74210246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","W 8TH ST","Dry","Clear"
"11354970","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1934","2010","Wednesday","OAK KNOLL DR","Intersection","30.42759475","Daylight","-97.76006245","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","45","JOLLYVILLE RD","Dry","Clear"
"11676787","No Data","No Data","0","0","0","1","0","Not Injured","1711","2010","Thursday","E RIVERSIDE DR","Intersection Related","30.22490479","Daylight","-97.70349247","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","35","MONTOPOLIS DR","Dry","Clear"
"11942966","No Data","No Data","0","0","0","1","1","Possible Injury","2045","2010","Thursday","E 22ND ST","Intersection Related","30.28343478","Daylight","-97.71797247","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","30","CHESTNUT AVE","Dry","Clear"
"11350536","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1442","2010","Friday","UNKNOWN","Intersection","30.25890478","Daylight","-97.74621246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","CONGRESS AVE S","Dry","Clear"
"11649633","No Data","No Data","0","0","0","2","1","Possible Injury","0107","2010","Friday","BRAZOS ST","Intersection","30.26768478","Dark, Lighted","-97.74147246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","E 6TH ST","Dry","Clear"
"11781406","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1621","2010","Friday","UNKNOWN","Intersection","30.27234477","Daylight","-97.73501245","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","30","E 12TH ST","Dry","Clear"
"11942975","No Data","No Data","0","1","0","4","0","Incapacitating Injury","2129","2010","Friday","UNKNOWN","Intersection Related","30.26253478","Dark, Lighted","-97.72210247","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","CHICON ST","Dry","Clear"
"11384922","148494","2014","0","0","1","1","0","Non-Incapacitating Injury","2115","2010","Saturday","N/A","Non Intersection","30.26338039","Dark, Not Lighted","-97.73554184","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","45","IH0035","Dry","Clear"
"11258683","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1623","2010","Sunday","E MARTIN LUTHER KING JR BLVD","Intersection","30.28584477","Daylight","-97.68262248","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","SPRINGDALE RD","Dry","Clear"
"11696187","No Data","No Data","0","0","0","1","1","Possible Injury","1112","2010","Thursday","OLTORF ST E","Intersection Related","30.23864019","Daylight","-97.75367403","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","S CONGRESS AVE","Dry","Clear"
"11258534","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1800","2010","Friday","N/A","Non Intersection","30.33596704","Daylight","-97.72001383","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","40","N LAMAR BLVD","Dry","Clear"
"11942998","No Data","No Data","0","1","0","0","0","Incapacitating Injury","1831","2010","Saturday","SPRINGDALE RD","Intersection","30.27399478","Daylight","-97.69015248","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","LEDESMA RD","Dry","Clear"
"11372268","125081","2014","0","0","1","0","0","Non-Incapacitating Injury","1903","2010","Monday","FM1325","Intersection","30.36040476","Dark, Not Lighted","-97.71668384","One Motor Vehicle - Going Straight","No","Not Applicable","Concrete","0","US0183","Dry","Clear"
"11372269","49417","2014","0","0","0","2","0","Not Injured","1732","2010","Tuesday","SILVER SPUR","Intersection","30.41757489","Daylight","-97.69937302","One Motor Vehicle - Turning Left","No","Not Applicable","Flex Base (Granular)","45","FM0734","Dry","Clear"
"11567329","22775","2014","0","1","0","2","0","Incapacitating Injury","0448","2010","Wednesday","N/A","Non Intersection","30.2799256","Dark, Lighted","-97.70229454","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","45","SL0111","Dry","Clear"
"11283440","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","0916","2010","Thursday","N/A","Driveway Access","No Data","Daylight","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","40","BRODIE LN","Dry","Clear"
"11283543","No Data","No Data","0","0","1","2","0","Non-Incapacitating Injury","0104","2010","Friday","N/A","Non Intersection","30.26056417","Dark, Not Lighted","-97.74555454","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","CONGRESS AVE S","Dry","Clear"
"11370126","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","0949","2010","Friday","UNKNOWN","Intersection","30.22081714","Daylight","-97.79405128","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","FM 2304","Dry","Clear"
"11283603","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","0106","2010","Sunday","OLTORF ST E","Intersection","30.23879479","Dark, Lighted","-97.75354246","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","35","S CONGRESS AVE","Dry","Clear"
"11283680","No Data","No Data","0","0","0","2","0","Not Injured","0837","2010","Monday","E MARTIN LUTHER KING JR BLVD","Intersection","30.27996478","Daylight","-97.73572246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","SAN JACINTO BLVD","Dry","Cloudy"
"11286914","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1402","2010","Tuesday","DUVAL ST","Intersection","30.29264477","Daylight","-97.73363246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","25","E 31ST ST","Dry","Clear"
"11596671","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","0851","2010","Wednesday","UNKNOWN","Intersection","30.18518576","Daylight","-97.8532711","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","40","W SLAUGHTER LN","Dry","Cloudy"
"11764578","44197","2014","0","0","0","1","1","Possible Injury","1359","2010","Wednesday","N/A","Non Intersection","30.38841056","Daylight","-97.75166203","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","60","SL0360","Dry","Cloudy"
"11393812","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1722","2010","Thursday","N/A","Non Intersection","30.2503331","Daylight","-97.74941823","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","0","CONGRESS AVE S","Dry","Clear"
"11545919","No Data","No Data","0","0","0","1","1","Possible Injury","0919","2010","Thursday","BRODIE LN","Intersection Related","30.15267481","Daylight","-97.85686244","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","GATLING GUN LN","Dry","Cloudy"
"11300043","No Data","No Data","0","1","0","1","0","Incapacitating Injury","1643","2010","Friday","2ND ST S","Intersection","30.24696478","Daylight","-97.75781246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","MARY ST W","Dry","Clear"
"11486416","197636","2014","0","1","0","1","0","Incapacitating Injury","0940","2010","Friday","DRISKILL ST","Intersection","30.26051191","Daylight","-97.73666073","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","35","IH0035","Dry","Clear"
"11548016","No Data","No Data","0","0","0","2","1","Possible Injury","1941","2010","Friday","ANGELINA ST","Intersection","30.26886478","Daylight","-97.72427247","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","ROSEWOOD AVE","Dry","Clear"
"11946086","No Data","No Data","0","0","0","1","1","Possible Injury","1154","2010","Saturday","W BRAKER LN","Intersection Related","30.40069475","Daylight","-97.74884246","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","35","JOLLYVILLE RD","Dry","Clear"
"11946093","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1813","2010","Monday","BURNET RD","Intersection","30.31983477","Daylight","-97.73918246","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","35","W 49TH ST","Dry","Clear"
"11300913","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1239","2010","Tuesday","E RIVERSIDE DR","Intersection","30.22698479","Daylight","-97.70800247","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","40","GROVE BLVD","Dry","Clear"
"11312071","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1825","2010","Wednesday","UNKNOWN","Intersection","30.3256056","Daylight","-97.74494975","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","35","SHOAL CREEK BLVD","Dry","Cloudy"
"11328062","No Data","No Data","0","0","1","0","0","Non-Incapacitating Injury","1300","2010","Friday","N/A","Driveway Access","30.24168353","Daylight","-97.75994877","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","35","S 1ST ST","Unknown","Unknown"
"11942943","52925","2014","0","0","1","1","0","Non-Incapacitating Injury","2120","2010","Friday","W WILLIAM CANNON DR","Intersection Related","30.23416154","Dark, Not Lighted","-97.86456783","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","45","US0290","Wet","Rain"
"11311856","No Data","No Data","0","0","1","2","0","Non-Incapacitating Injury","1627","2010","Sunday","SAN JACINTO BLVD","Intersection Related","30.29104064","Daylight","-97.73471767","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","DUVAL ST","Dry","Clear"
"11336975","No Data","No Data","0","0","0","3","0","Not Injured","1130","2010","Sunday","MANOR RD","Intersection","30.28627477","Daylight","-97.70637247","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","45","AIRPORT BLVD","Dry","Cloudy"
"11336967","No Data","No Data","0","0","0","1","1","Possible Injury","1538","2010","Tuesday","N/A","Non Intersection","30.25676331","Daylight","-97.74702812","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","CONGRESS AVE S","Dry","Clear"
"11546133","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1240","2010","Tuesday","GLISSMAN RD","Intersection","30.25850478","Daylight","-97.70008247","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","30","SPRINGDALE RD","Dry","Cloudy"
"11464929","124047","2014","0","0","1","1","0","Non-Incapacitating Injury","1650","2010","Thursday","N/A","Driveway Access","30.22770241","Daylight","-97.77435446","One Motor Vehicle - Turning Right","No","Not Applicable","Concrete","0","US0290","Wet","Rain"
"11344160","164391","2014","0","1","0","1","0","Incapacitating Injury","2205","2010","Friday","E 12TH ST","Intersection Related","30.27167173","Dark, Lighted","-97.73245068","One Motor Vehicle - Turning Left","No","Not Applicable","Flex Base (Granular)","40","IH0035","Dry","Clear"
"11459524","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1736","2010","Friday","N/A","Driveway Access","30.25150608","Daylight","-97.74897621","One Motor Vehicle - Turning Right","No","Not Applicable","No Data","35","CONGRESS AVE S","Wet","Clear"
"11420367","No Data","No Data","0","0","0","1","1","Possible Injury","1545","2010","Monday","W 1ST ST","Intersection","30.26433478","Daylight","-97.74803246","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","GUADALUPE ST","Dry","Clear"
"11764569","No Data","No Data","0","0","0","1","1","Possible Injury","2119","2010","Monday","DUVAL RD","Intersection","30.41724475","Dark, Lighted","-97.75004245","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","0","JOLLYVILLE RD","Dry","Cloudy"
"11343940","No Data","No Data","0","0","0","1","1","Possible Injury","1404","2010","Tuesday","N/A","Driveway Access","30.28231478","Daylight","-97.74206246","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","0","GUADALUPE ST","Dry","Clear"
"11464930","No Data","No Data","0","0","0","1","0","Not Injured","1600","2010","Tuesday","N/A","Non Intersection","No Data","Daylight","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","S SOUTH GRIST ST","Dry","Clear"
"11567147","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","0844","2010","Wednesday","PAYTON GIN RD","Intersection","30.36221476","Daylight","-97.71009247","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","35","PARKFIELD DR","Dry","Unknown"
"11350617","44197","2014","0","0","1","1","0","Non-Incapacitating Injury","1337","2010","Friday","WILDRIDGE DR","Intersection","30.38853002","Daylight","-97.75006615","One Motor Vehicle - Turning Right","No","Not Applicable","Flex Base (Granular)","0","SL0360","Dry","Clear"
"11359779","No Data","No Data","0","0","1","4","0","Non-Incapacitating Injury","1644","2010","Friday","N/A","Driveway Access","No Data","Daylight","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","IH0035","Dry","Clear"
"11359834","No Data","No Data","0","0","0","1","1","Possible Injury","1900","2010","Saturday","N/A","Non Intersection","No Data","Dusk","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","E RIVERSIDE DR","Dry","Clear"
"11459615","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","2042","2010","Monday","UNKNOWN","Intersection","30.33671641","Daylight","-97.71955672","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","40","JUSTIN LN","Dry","Clear"
"11359825","22775","2014","0","0","0","1","1","Possible Injury","0400","2010","Tuesday","N/A","Non Intersection","30.27956946","Dark, Not Lighted","-97.70205846","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","40","SL0111","Dry","Clear"
"11524656","29839","2014","0","0","0","1","1","Possible Injury","1152","2010","Tuesday","FM0734","Intersection","30.36314796","Daylight","-97.69696817","One Motor Vehicle - Going Straight","No","Not Applicable","Flex Base (Granular)","45","SL0275","Dry","Clear"
"11942944","No Data","No Data","0","0","0","0","1","Possible Injury","1206","2010","Wednesday","N/A","Non Intersection","No Data","Daylight","No Data","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","0","IH0035","Dry","Clear"
"11376692","No Data","No Data","0","0","0","2","1","Possible Injury","1153","2010","Sunday","N/A","Non Intersection","30.29210262","Daylight","-97.73149146","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","30","HARRIS PARK AVE","Dry","Cloudy"
"11942939","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1201","2010","Thursday","RED RIVER ST","Intersection","30.27222478","Daylight","-97.73504246","One Motor Vehicle - Turning Left","No","Not Applicable","No Data","35","E 12TH ST","Dry","Clear"
"11384906","No Data","No Data","0","0","1","1","0","Non-Incapacitating Injury","1851","2010","Wednesday","N/A","Non Intersection","30.29501022","Daylight","-97.7837112","One Motor Vehicle - Going Straight","No","Not Applicable","No Data","35","LAKE AUSTIN BLVD","Dry","Clear"
